domain,task_id,seed,episode_id,team_reward,team_success,receiver_rewards,success,real_engine_executed,engine_duration_seconds,wall_seconds,exit_code,score
minecraft,59,1,a4cc51b85eeb14f59736fec1,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,426.49,426.69,0,1.0
minecraft,82,0,aa21c143a54ef17fa38291e8,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,346.27,346.44,0,1.0
minecraft,82,1,a8357b6b0f6749b80e5d4e55,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,412.66,412.86,0,1.0
minecraft,47,0,6ac580744fe89fea02817a7c,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,350.87,351.02,0,1.0
minecraft,47,1,3a6bca75de27e49153a819c9,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,380.76,380.92,0,1.0
minecraft,21,0,2ca7b67fc9cf1cdabfa8a7e5,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,325.62,325.78,0,1.0
minecraft,21,1,ec4909a10788336676938848,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,380.92,381.09,0,1.0
minecraft,48,0,10749f62e7a7dc3f0eff3d11,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,290.39,290.52,0,1.0
minecraft,48,1,e8f39823ea46e59d95e01c0b,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,389.42,389.61,0,1.0
minecraft,46,0,0d68782474e6b0353a458796,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,451.1,451.32,0,1.0
minecraft,46,1,3b5c30d9b65a45b6862f5a65,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,452.23,452.52,0,1.0
minecraft,27,0,e7333e86b433f0691f15d8f8,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,581.73,582.03,0,1.0
minecraft,27,1,1bf870b993b68eac70cd754f,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,394.61,394.79,0,1.0
minecraft,86,0,e89707aaf88eaf7b2b26bda3,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,437.17,437.37,0,1.0
minecraft,86,1,3434e44eface86b92144c066,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,440.94,441.13,0,1.0
minecraft,35,0,460f9ffac01eec5ea8068371,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,360.58,360.74,0,1.0
