contamination_type,ratio,method,task_id,seed,n_contaminated_total,n_contaminated_injected,contamination_rate,team_reward,total_injected,propagation_depth
false_procedural,0.1,retrieval,64,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,64,2,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,64,2,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,65,0,0,0,0.0,-1.3333,6,0.0
false_procedural,0.1,retrieval,65,0,0,0,0.0,-1.3333,6,0.0
false_procedural,0.1,smtr_uniform,65,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,65,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,65,1,0,0,0.0,-0.3333,3,0.0
false_procedural,0.1,retrieval,65,1,0,0,0.0,-0.3333,3,0.0
false_procedural,0.1,smtr_uniform,65,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,65,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,65,2,0,0,0.0,-0.3333,6,0.0
false_procedural,0.1,retrieval,65,2,0,0,0.0,-0.3333,6,0.0
false_procedural,0.1,smtr_uniform,65,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,65,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,68,0,0,0,0.0,0.0,15,0.0
false_procedural,0.1,retrieval,68,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,68,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,68,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,68,1,0,0,0.0,0.0,18,0.0
false_procedural,0.1,retrieval,68,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,68,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,68,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,68,2,0,0,0.0,0.0,18,0.0
false_procedural,0.1,retrieval,68,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,68,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,68,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,69,0,0,0,0.0,-2.3333,18,0.0
false_procedural,0.1,retrieval,69,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,69,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,69,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,69,1,0,0,0.0,-4.0,18,0.0
false_procedural,0.1,retrieval,69,1,0,0,0.0,-1.6667,9,0.0
false_procedural,0.1,smtr_uniform,69,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,69,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,69,2,0,0,0.0,4.3333,18,0.0
false_procedural,0.1,retrieval,69,2,0,0,0.0,2.0,9,0.0
false_procedural,0.1,smtr_uniform,69,2,0,0,0.0,4.3333,18,0.0
